iter	Logloss
0	0.6885801409
1	0.684732493
2	0.6809669112
3	0.6779369761
4	0.674761906
5	0.6722809246
6	0.6694202486
7	0.6668414509
8	0.6647219209
9	0.66263536
10	0.6592688958
11	0.6560793008
12	0.6533846234
13	0.6507517386
14	0.6483183536
15	0.6458079627
16	0.643684277
17	0.6417471173
18	0.6401367479
19	0.6385701341
20	0.6368970164
21	0.6354983682
22	0.634138415
23	0.6328491853
24	0.6319744237
25	0.6310272556
26	0.630032245
27	0.6291154428
28	0.6282877886
29	0.6274252306
30	0.6266795688
31	0.6259606114
32	0.6252108846
33	0.624566567
34	0.6238800648
35	0.6233732051
36	0.6227057826
37	0.6222182149
38	0.6216992639
39	0.6212953881
40	0.6208747222
41	0.6202923468
42	0.6198540303
43	0.6192523343
44	0.618712949
45	0.6183173197
46	0.6179382886
47	0.6175289765
48	0.6171657625
49	0.6168966248
50	0.616509548
51	0.6162016273
52	0.615928324
53	0.6156253007
54	0.6153722201
55	0.6151310343
56	0.6148117675
57	0.6145725102
58	0.6143455562
59	0.6140845629
60	0.6138164383
61	0.6135832772
62	0.6132077895
63	0.6130200626
64	0.6127575003
65	0.6124957457
66	0.6123320607
67	0.6121580643
68	0.6120087313
69	0.6117354086
70	0.611496565
71	0.6111681674
72	0.6109654476
73	0.6105961312
74	0.6103663496
75	0.6101121364
76	0.6099486924
77	0.6097385538
78	0.6094927573
79	0.6093050589
80	0.6091431793
81	0.6089862835
82	0.6088077074
83	0.6086739003
84	0.6084351079
85	0.6082338901
86	0.6079288067
87	0.6077067146
88	0.6075276354
89	0.6073823997
90	0.6072650844
91	0.607066521
92	0.6068977415
93	0.606685262
94	0.6064893214
95	0.606351603
96	0.6062228074
97	0.6060792136
98	0.605896714
99	0.6057451741
