iter	Passed	Remaining
0	158	157990
1	303	151539
2	425	141397
3	550	137022
4	674	134262
5	805	133482
6	946	134274
7	1070	132733
8	1181	130135
9	1299	128686
10	1409	126736
11	1532	126169
12	1645	124914
13	1769	124634
14	1891	124238
15	2005	123347
16	2134	123447
17	2252	122867
18	2379	122877
19	2484	121718
20	2611	121723
21	2733	121511
22	2862	121612
23	2994	121787
24	3117	121600
25	3228	120948
26	3352	120799
27	3478	120770
28	3619	121195
29	3730	120625
30	3869	120944
31	4001	121035
32	4119	120727
33	4251	120801
34	4383	120866
35	4507	120699
36	4621	120291
37	4742	120065
38	4883	120335
39	5021	120511
40	5161	120738
41	5285	120563
42	5409	120403
43	5534	120255
44	5658	120082
45	5797	120243
46	5922	120082
47	6046	119919
48	6154	119456
49	6262	118995
50	6399	119081
51	6524	118949
52	6645	118745
53	6773	118656
54	6897	118510
55	7022	118383
56	7148	118259
57	7284	118302
58	7414	118258
59	7525	117898
60	7693	118428
61	7814	118222
62	7938	118076
63	8065	117957
64	8171	117545
65	8294	117380
66	8436	117480
67	8561	117349
68	8683	117169
69	8812	117085
70	8966	117319
71	9106	117369
72	9222	117117
73	9330	116754
74	9477	116892
75	9589	116592
76	9720	116520
77	9846	116385
78	9980	116357
79	10103	116186
80	10228	116043
81	10355	115928
82	10476	115744
83	10601	115601
84	10725	115453
85	10850	115322
86	10974	115167
87	11098	115023
88	11230	114951
89	11341	114671
90	11474	114620
91	11599	114481
92	11724	114340
93	11836	114085
94	11947	113812
95	12013	113123
96	12127	112899
97	12258	112831
98	12390	112764
99	12515	112639
100	12656	112658
101	12766	112391
102	12891	112267
103	13017	112147
104	13138	111989
105	13279	111998
106	13412	111942
107	13541	111844
108	13663	111690
109	13790	111579
110	13945	111690
111	14081	111644
112	14218	111611
113	14348	111516
114	14486	111483
115	14619	111409
116	14749	111317
117	14875	111184
118	14999	111048
119	15121	110888
120	15243	110736
121	15366	110588
122	15488	110433
123	15642	110507
124	15818	110732
125	15942	110584
126	16063	110423
127	16187	110278
128	16312	110143
129	16437	110003
130	16560	109857
131	16669	109617
